Record Length,2500,Points,x1,y1,,Record Length,2500,Points,x2,y2
,,,-44.91999745E-3,48.79999924,,,,,-44.91999745E-3,33.20000076
,,,-44.87999901E-3,48.79999924,,,,,-44.87999901E-3,33.20000076
,,,-44.84000057E-3,50.40000153,,,,,-44.84000057E-3,33.60000229
,,,-44.79999840E-3,51.20000076,,,,,-44.79999840E-3,33.20000076
,,,-44.75999996E-3,52.00000000,,,,,-44.75999996E-3,33.20000076
,,,-44.71999779E-3,53.60000229,,,,,-44.71999779E-3,33.20000076
,,,-44.67999935E-3,55.200000763,,,,,-44.67999935E-3,33.20000076
,,,-44.63999718E-3,56.000000000,,,,,-44.63999718E-3,33.20000076
,,,-44.59999874E-3,56.799999237,,,,,-44.59999874E-3,33.20000076
,,,-44.56000030E-3,59.200000763,,,,,-44.56000030E-3,33.20000076
,,,-44.51999813E-3,62.400001526,,,,,-44.51999813E-3,33.20000076
,,,-44.47999969E-3,61.600002289,,,,,-44.47999969E-3,33.20000076
,,,-44.43999752E-3,64.000000000,,,,,-44.43999752E-3,33.20000076
,,,-44.39999908E-3,64.800003052,,,,,-44.39999908E-3,33.20000076
,,,-44.36000064E-3,66.400001526,,,,,-44.36000064E-3,33.20000076
,,,-44.31999847E-3,69.599998474,,,,,-44.31999847E-3,33.20000076
,,,-44.28000003E-3,70.400001526,,,,,-44.28000003E-3,33.20000076
,,,-44.23999786E-3,71.200004578,,,,,-44.23999786E-3,33.20000076
,,,-44.19999942E-3,75.200004578,,,,,-44.19999942E-3,33.20000076
,,,-44.15999725E-3,75.200004578,,,,,-44.15999725E-3,33.20000076
,,,-44.11999881E-3,78.400001526,,,,,-44.11999881E-3,33.20000076
,,,-44.08000037E-3,79.200004578,,,,,-44.08000037E-3,32.79999924
,,,-44.03999820E-3,81.599998474,,,,,-44.03999820E-3,33.20000076
,,,-43.99999976E-3,84.000000000,,,,,-43.99999976E-3,33.20000076
,,,-43.95999759E-3,85.599998474,,,,,-43.95999759E-3,32.79999924
,,,-43.91999915E-3,88.000000000,,,,,-43.91999915E-3,32.79999924
,,,-43.88000071E-3,89.599998474,,,,,-43.88000071E-3,32.79999924
,,,-43.83999854E-3,93.599998474,,,,,-43.83999854E-3,32.79999924
,,,-43.80000010E-3,93.599998474,,,,,-43.80000010E-3,32.79999924
,,,-43.75999793E-3,96.000000000,,,,,-43.75999793E-3,32.79999924
,,,-43.71999949E-3,97.599998474,,,,,-43.71999949E-3,32.79999924
,,,-43.67999732E-3,100.0000000,,,,,-43.67999732E-3,32.79999924
,,,-43.63999888E-3,103.2000046,,,,,-43.63999888E-3,32.79999924
,,,-43.60000044E-3,103.2000046,,,,,-43.60000044E-3,32.40000153
,,,-43.55999827E-3,104.0000000,,,,,-43.55999827E-3,32.79999924
,,,-43.51999983E-3,104.0000000,,,,,-43.51999983E-3,32.79999924
,,,-43.47999766E-3,104.8000031,,,,,-43.47999766E-3,32.40000153
,,,-43.43999922E-3,103.2000046,,,,,-43.43999922E-3,32.79999924
,,,-43.40000078E-3,101.5999985,,,,,-43.40000078E-3,32.40000153
,,,-43.35999861E-3,100.0000000,,,,,-43.35999861E-3,32.79999924
,,,-43.32000017E-3,95.200004578,,,,,-43.32000017E-3,32.40000153
,,,-43.27999800E-3,94.400001526,,,,,-43.27999800E-3,32.40000153
,,,-43.23999956E-3,87.200004578,,,,,-43.23999956E-3,32.40000153
,,,-43.19999740E-3,90.400001526,,,,,-43.19999740E-3,32.40000153
,,,-43.15999895E-3,84.800003052,,,,,-43.15999895E-3,32.40000153
,,,-43.12000051E-3,83.200004578,,,,,-43.12000051E-3,32.40000153
,,,-43.07999834E-3,81.599998474,,,,,-43.07999834E-3,32.40000153
,,,-43.03999990E-3,78.400001526,,,,,-43.03999990E-3,32.40000153
,,,-42.99999774E-3,75.200004578,,,,,-42.99999774E-3,32.40000153
,,,-42.95999929E-3,73.599998474,,,,,-42.95999929E-3,32.40000153
,,,-42.92000085E-3,72.000000000,,,,,-42.92000085E-3,32.40000153
,,,-42.87999868E-3,69.599998474,,,,,-42.87999868E-3,32.00000000
,,,-42.84000024E-3,68.000000000,,,,,-42.84000024E-3,32.00000000
,,,-42.79999807E-3,66.400001526,,,,,-42.79999807E-3,32.40000153
,,,-42.75999963E-3,64.000000000,,,,,-42.75999963E-3,32.00000000
,,,-42.71999747E-3,60.799999237,,,,,-42.71999747E-3,32.00000000
,,,-42.67999902E-3,59.200000763,,,,,-42.67999902E-3,32.00000000
,,,-42.64000058E-3,60.000000000,,,,,-42.64000058E-3,32.00000000
,,,-42.59999841E-3,56.799999237,,,,,-42.59999841E-3,32.40000153
,,,-42.55999997E-3,55.200000763,,,,,-42.55999997E-3,32.00000000
,,,-42.51999781E-3,54.40000153,,,,,-42.51999781E-3,32.00000000
,,,-42.47999936E-3,54.40000153,,,,,-42.47999936E-3,32.00000000
,,,-42.44000092E-3,51.20000076,,,,,-42.44000092E-3,32.00000000
,,,-42.39999875E-3,51.20000076,,,,,-42.39999875E-3,32.00000000
,,,-42.36000031E-3,49.60000229,,,,,-42.36000031E-3,32.00000000
,,,-42.31999815E-3,48.00000000,,,,,-42.31999815E-3,32.00000000
,,,-42.27999970E-3,47.20000076,,,,,-42.27999970E-3,31.60000038
,,,-42.23999754E-3,46.40000153,,,,,-42.23999754E-3,31.60000038
,,,-42.19999909E-3,44.79999924,,,,,-42.19999909E-3,32.00000000
,,,-42.16000065E-3,44.79999924,,,,,-42.16000065E-3,32.00000000
,,,-42.11999848E-3,44.00000000,,,,,-42.11999848E-3,32.00000000
,,,-42.08000004E-3,43.20000076,,,,,-42.08000004E-3,31.60000038
,,,-42.03999788E-3,42.40000153,,,,,-42.03999788E-3,32.00000000
,,,-41.99999943E-3,41.60000229,,,,,-41.99999943E-3,31.60000038
,,,-41.95999727E-3,40.00000000,,,,,-41.95999727E-3,31.60000038
,,,-41.91999882E-3,40.00000000,,,,,-41.91999882E-3,31.60000038
,,,-41.88000038E-3,39.20000076,,,,,-41.88000038E-3,31.60000038
,,,-41.83999822E-3,39.20000076,,,,,-41.83999822E-3,31.60000038
,,,-41.79999977E-3,38.40000153,,,,,-41.79999977E-3,31.60000038
,,,-41.75999761E-3,38.40000153,,,,,-41.75999761E-3,31.60000038
,,,-41.71999916E-3,36.79999924,,,,,-41.71999916E-3,31.60000038
,,,-41.68000072E-3,36.79999924,,,,,-41.68000072E-3,31.60000038
,,,-41.63999856E-3,36.00000000,,,,,-41.63999856E-3,32.00000000
,,,-41.60000011E-3,36.00000000,,,,,-41.60000011E-3,31.60000038
,,,-41.55999795E-3,35.20000076,,,,,-41.55999795E-3,31.20000076
,,,-41.51999950E-3,35.20000076,,,,,-41.51999950E-3,31.60000038
,,,-41.47999734E-3,36.00000000,,,,,-41.47999734E-3,31.20000076
,,,-41.43999889E-3,34.40000153,,,,,-41.43999889E-3,31.20000076
,,,-41.40000045E-3,35.20000076,,,,,-41.40000045E-3,31.20000076
,,,-41.35999829E-3,34.40000153,,,,,-41.35999829E-3,31.20000076
,,,-41.31999984E-3,33.60000229,,,,,-41.31999984E-3,31.20000076
,,,-41.27999768E-3,34.40000153,,,,,-41.27999768E-3,31.20000076
,,,-41.23999923E-3,33.60000229,,,,,-41.23999923E-3,31.20000076
,,,-41.20000079E-3,33.60000229,,,,,-41.20000079E-3,31.20000076
,,,-41.15999863E-3,33.60000229,,,,,-41.15999863E-3,31.20000076
,,,-41.12000018E-3,32.00000000,,,,,-41.12000018E-3,31.20000076
,,,-41.07999802E-3,32.79999924,,,,,-41.07999802E-3,31.20000076
,,,-41.03999957E-3,32.79999924,,,,,-41.03999957E-3,31.20000076
,,,-40.99999741E-3,32.00000000,,,,,-40.99999741E-3,31.20000076
,,,-40.95999897E-3,32.00000000,,,,,-40.95999897E-3,31.20000076
,,,-40.92000052E-3,31.20000076,,,,,-40.92000052E-3,30.80000114
,,,-40.87999836E-3,30.39999962,,,,,-40.87999836E-3,30.80000114
,,,-40.83999991E-3,29.60000038,,,,,-40.83999991E-3,31.20000076
,,,-40.79999775E-3,29.60000038,,,,,-40.79999775E-3,31.20000076
,,,-40.75999931E-3,29.60000038,,,,,-40.75999931E-3,30.80000114
,,,-40.72000086E-3,28.80000114,,,,,-40.72000086E-3,30.80000114
,,,-40.67999870E-3,28.80000114,,,,,-40.67999870E-3,31.20000076
